category,title,short_decs,rating,student_num,points,creator,language,last_update,price,duration,long_desc,url
IT & Software > IT Certifications > AWS Certification,AWS Certified Cloud Practitioner - Simulados Em Português,Pratique seus conhecimentos com 4 simulados desenvolvidos em português com 260 questões e aprenda ainda mais!,2.0,2 students,1,Carlos de Andrade,Portuguese,Last updated 6/2022,$14.99,,"Quatro simulados desenvolvidos em português com 260 questão nos mais diversificados temas.. Aprenda ainda mais com as explicações das questões!. Atualmente a prova de certificação AWS Cloud Practitioner está disponível no idioma português.. Pratique seus conhecimentos sobre AWS para ter uma ótima aprovação na prova de certificação AWS Practitioner e ter sucesso no mercado de trabalho.. Quais benefícios da certificação AWS Practitioner ?. Está certificação tem publico livre, qualquer pessoa que tenha conhecimentos básicos da plataforma AWS, terá maior visibilidade no mercado de tecnologia e estará na frente no setor de computação em nuvem.. O que é necessário para obter esta certificação?. Para obter essa certificação, você precisará fazer e ser aprovado no exame AWS Certified Cloud Practitioner (CLF-C01). O exame apresenta uma combinação de dois formatos de pergunta: múltipla escolha e múltipla resposta. Há outras informações, como esboço do conteúdo do exame, no guia do exame.. Grande variedade de questões no seguintes temas:. e muito mais...",https://www.udemy.com/course/simulados-em-portugues-aws-certified-cloud-practitioner/
Development > Web Development,Dasar Pemograman Web untuk Pemula,"Web Server, Web Design, Javascript, MySQL, PHP, MVC, HTTP Verb, REST, Laravel Framework",4.3,"2,165 students",78,Bina Nusantara University,Indonesian,,,,"Course pemrograman web memberikan panduan bagaimana cara mendesain dan mengembangkan situs web yang statis dan dinamis. course ini menjelaskan konsep pemrograman web dengan PHP, HTML, Java secara umum dan membimbing pelajar untuk membuat aplikasi web yang dinamis dan juga memberikan pelajaran bagaimana membuat aplikasi web aman.. Course ini memiliki 10 topik:",https://www.udemy.com/course/web-programming-wpr/
Development > Web Development,HTML5 Desde Cero,Inicia tu camino en el desarrollo web.,4.1,"5,855 students",81,Juan Carlos Amaranto Gonzalez,Spanish,,,,"En este curso aprenderemos como esta conformados los sitios y pagina web alojados en internet, te enseñare a comprender desde lo mas básico el funcionamiento de cada etiqueta y el porque se debe seguir una estructura al momento de crear un sitio web.. Se trata de una formación completa, 100% práctico, compuesta por 15 lecciones que represen 2 horas de contenido, en la cual conocerás paso a paso sin necesidad de tener conocimientos previos o haber estudiado alguna carrera relacionado a la informática.. Iniciaremos con lo más básico instalando el entorno necesario para trabajar conforme se vaya avanzando iremos reforzando lo aprendido hasta llegar a nuestro proyecto final (sitio web).. IMPORTANCIA. Este curso se enfoca en el aprendizaje de HTML5 , ya que es pilar para la construcción de paginas web así mismo depende de otras tecnologías tales como CSS y JavaScript, pero volviendo a lo primordial si no comprendiste la importancia de esta tecnología te será muy difícil comprender el siguiente reto.. CONTENIDO DEL CURSO. Esta conformado por 2 secciones:. Agregando esto también aprenderemos:",https://www.udemy.com/course/html5-desde-cero-udemy/
Development > Web Development,"Html5, Css3, Js, Jquery, Bootstrap In Hindi (Free Course)","Html5, Css3, Js, Jquery, Bootstrap In Hindi learn free",3.6,"2,709 students",82,piyush Kaushal,Hindi,,,,"hello guys maine iss course me apko some parts of Html5, Css3, Js, Jquery, Bootstrap In Hindi me padhaya hai agar apko pura course padhna hai to aap mera dusra course join kar sakte hai usme maine sab kuch apko padhaya hai jo apko jaroorat hai ek web devlopment seekhne ke liye",https://www.udemy.com/course/learn-html5-css3-js-jquery-bootstrap-in-hindi/
Development > Web Development > Front End Web Development,網頁開發體驗課,適合給完全不會網頁開發的人，來體驗看看這個職業適不適合你,4.6,"1,973 students",106,Danny Huang,Traditional Chinese,,,,"2019.5.29 更新. ----------------------------------. 增加一個CSS章節(53分鐘)，我是從另外一個付費的CSS課程拿一章節來這裡試上的。 如果喜歡可以參考看看。. ----------------------------------. 這一堂課我希望可以讓新手來看看網頁開發是什麼？然後開發流程是什麼？. 一開始先來介紹網頁開發有哪一些區塊(前端，後端，UI/UX)。. 我會來解說每一個環節是做什麼的。. 再來我會介紹編輯器還有HTML 是什麼。 然後遊覽器是如何看我們的程式碼. 接下來 我們會從一張設計圖， 然後透過整體的規劃來看程式碼如何寫。. 我們會先用HTML把整個架構寫出來. 然後我們開始在每一個區塊用CSS來做美觀的動作, 最後來加一下Javascript ，讓我們的卡片多一點動作。",https://www.udemy.com/course/intro-to-web-dev-no-experience/
Development > Web Development > Shopify,Shopify Desenvolvimento de Templates,Aprenda o essencial para desenvolver templates dentro do shopify,4.5,"3,414 students",126,Fellipe Guimaraes,Portuguese,,,,"O curso é focado para quem está querendo desenvolver o. primeiro tema shopify. e não sabe muito bem como, ele é completo, mas não ensina sobre HTML, CSS e JS o foco dele é shopify!. A idéia é que você consiga se pagar e ganhar dinheiro assim que finalizar o curso, trabalhando com desenvolvimento de temas, suporte a lojas e em uma ferramenta chamada. Hibiro,. mas como tudo só depende de você :). Vamos passar pelos principais conceitos, como:",https://www.udemy.com/course/shopify-desenvolvimento-de-templates/
Development > Web Development,Herramientas para el desarrollador web,Herramientas gratuitas y multiplataforma para programar mejor y más rápido,4.6,"15,471 students",144,Francisco Javier Arce Anguiano,Spanish,,,,"Una de las mayores barreras cuando iniciamos a desarrollar aplicaciones en Web con HTML, CSS y JavaScript, es que desconocemos las herramientas que nos harían más productiva nuestra tarea.. Lo mismo sucede cuando somos expertos en el desarrollo web, generalmente nos anclamos a un editor y desconocemos que hay otras opciones más poderosas al rededor, así como gratuitas (a mi me paso esto).. Este curso tiene como objetivo que obtengas bases firmes para seleccionar un editor de código, conocer la poderosa herramienta de codificación que es Emmet y poder utilizar con fluidez la consola de los navegadores, así como la herramienta de depuración de los mismos, conociendo los términos generales a los depuradores de cualquier plataforma.. Hicimos una selección de las herramientas a base de que fueran gratuitas, muy extendidas en su uso, que existiera una amplia comunidad a su alrededor y usuarios que desarrollen para ellas.. Desafortunadamente no hay suficiente tiempo para analizar todas las herramientas del mercado, pero estamos seguros que hemos elegido poderosas herramientas que ayudarán a aumentar tu productividad como desarrollador web.. Este curso está dirigido a desarrolladores web que maneje HTML, CSS y JavaScript, pues son los lenguajes en que se basan las herramientas que analizamos en el curso.. Si usted no utiliza estos lenguajes, o busca soporte en otros lenguajes, como PHP, .NET o Java, no le será de utilidad el presente curso.. Por último, este curso lo he querido desarrollar desde hace mucho tiempo como instructor de lenguajes web, ya que veo como el desconocimiento de dichas herramientas entorpece el aprendizaje.. Sinceramente espero que este curso te sea de mucha utilidad.",https://www.udemy.com/course/herramientas-para-el-desarrollador-web/
Development > Web Development,Web Programming untuk Pemula,"Web Server, PHP, CSS, Javascript",3.8,"4,667 students",145,Bina Nusantara University,Indonesian,,,,"Materi Pemrograman Web memberikan panduan bagaimana cara merancang dan mengembangkan situs web statis dan dinamis. Materi ini menjelaskan konsep pemrograman web dengan PHP, HTML, CSS secara umum dan memandu pelajar untuk membuat aplikasi web dinamis. Materi ini juga merupakan Subyek Proyek Bisnis-kewirausahaan yang melekat. Ini juga menjelaskan konsep kewirausahaan dan bisnis yang terkait dengan bidang Ilmu Komputer.",https://www.udemy.com/course/web-programming-wp/
,,,,,,,,,,,,https://www.udemy.com/course/de-0-connaissance-a-un-site-web-en-html-css-en-2-heures/
Design > Web Design > Web Development,Tablosuz ( Div ) tasarım site yapımı ve basit veritabanı,Dreamweaver kullanarak site tasarımı ve Visual Studio kullanarak aynı site üzerinde basit veritabanı işlemleri yapıyoruz,4.6,"9,572 students",167,Mehmet Abanoz,Turkish,,,,Dreamweaver kullanarak basit ve temel düzeyde html site tasarımı ve bu tasarımın dreamweaver şablon yapısına dönüştürülmesi vede Visual Studio kullanarak aynı html yapıyı Master Page'ye dönüştürme ve üzerinde basit veritabanı işlemleri yapabilmeyi sağlayacağız.,https://www.udemy.com/course/tablosuz-div-tasarim-site-yapimi-ve-basit-veritabani-islemleri/
Development > Web Development,Bir Saatte HTML Öğrenmek,HTML Öğrenmek İsteyenler İçin Basit Bir Eğitim,4.4,"4,905 students",191,Kıvanç Akgül,Turkish,,,,Web Yazılımcısı olmak isteyenler ve yazılıma bir yerden başlamak isteyenler bu eğitim ile giriş yapabilirler hiçbir bilgi sahibi olmadan sıfırdan bu kurs ile başlayıp ilerleyebilirler bu kurs'dan sonra css ve php eğitimleride gelecek yani tam dökümanlı bir web geliştiricisi için gerekli olan herşey olacak php eğitimi hariç diğer eğitimlerimi tamamen ücretsiz olarak sunacağım sizlere bu html eğitimi udemy'deki 3.eğitimim diğer kurslarımada bakabilirsiniz ...,https://www.udemy.com/course/sfrdan-html-ogreniyorum/
